['$GNRMC', '190816.00', 'A', '6004.25965', 'N', '03015.62092', 'E', '0.041', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190817.00', 'A', '6004.25960', 'N', '03015.62084', 'E', '0.022', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '190818.00', 'A', '6004.25953', 'N', '03015.62081', 'E', '0.057', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190819.00', 'A', '6004.25946', 'N', '03015.62083', 'E', '0.020', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '190820.00', 'A', '6004.25940', 'N', '03015.62084', 'E', '0.019', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '190821.00', 'A', '6004.25936', 'N', '03015.62085', 'E', '0.045', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190822.00', 'A', '6004.25932', 'N', '03015.62084', 'E', '0.075', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '190823.00', 'A', '6004.25927', 'N', '03015.62084', 'E', '0.016', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '190824.00', 'A', '6004.25923', 'N', '03015.62082', 'E', '0.073', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '190825.00', 'A', '6004.25920', 'N', '03015.62068', 'E', '0.030', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '190826.00', 'A', '6004.25917', 'N', '03015.62053', 'E', '0.061', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '190827.00', 'A', '6004.25913', 'N', '03015.62052', 'E', '0.051', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190828.00', 'A', '6004.25915', 'N', '03015.62050', 'E', '0.054', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190829.00', 'A', '6004.25915', 'N', '03015.62062', 'E', '0.016', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '190830.00', 'A', '6004.25917', 'N', '03015.62071', 'E', '0.070', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190831.00', 'A', '6004.25912', 'N', '03015.62095', 'E', '0.094', '', '250525', '', '', 'D*61\r\n']
