['$GNRMC', '113807.00', 'A', '6004.25278', 'N', '03015.65036', 'E', '0.033', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113808.00', 'A', '6004.25283', 'N', '03015.65056', 'E', '0.015', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '113809.00', 'A', '6004.25287', 'N', '03015.65067', 'E', '0.020', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '113810.00', 'A', '6004.25290', 'N', '03015.65079', 'E', '0.028', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '113811.00', 'A', '6004.25296', 'N', '03015.65091', 'E', '0.012', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '113812.00', 'A', '6004.25304', 'N', '03015.65101', 'E', '0.028', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '113813.00', 'A', '6004.25306', 'N', '03015.65115', 'E', '0.006', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '113814.00', 'A', '6004.25306', 'N', '03015.65142', 'E', '0.024', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113815.00', 'A', '6004.25305', 'N', '03015.65167', 'E', '0.028', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '113816.00', 'A', '6004.25302', 'N', '03015.65195', 'E', '0.011', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '113817.00', 'A', '6004.25299', 'N', '03015.65219', 'E', '0.013', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113818.00', 'A', '6004.25297', 'N', '03015.65238', 'E', '0.012', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '113819.00', 'A', '6004.25297', 'N', '03015.65258', 'E', '0.008', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113820.00', 'A', '6004.25297', 'N', '03015.65277', 'E', '0.010', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '113821.00', 'A', '6004.25300', 'N', '03015.65279', 'E', '0.033', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113822.00', 'A', '6004.25302', 'N', '03015.65286', 'E', '0.006', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '113823.00', 'A', '6004.25306', 'N', '03015.65298', 'E', '0.031', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '113824.00', 'A', '6004.25309', 'N', '03015.65311', 'E', '0.037', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '113825.00', 'A', '6004.25313', 'N', '03015.65327', 'E', '0.030', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113826.00', 'A', '6004.25315', 'N', '03015.65346', 'E', '0.013', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113827.00', 'A', '6004.25317', 'N', '03015.65372', 'E', '0.030', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '113828.00', 'A', '6004.25321', 'N', '03015.65391', 'E', '0.032', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '122204.00', 'A', '6004.25304', 'N', '03015.65540', 'E', '0.061', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '122205.00', 'A', '6004.25297', 'N', '03015.65562', 'E', '0.045', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '122206.00', 'A', '6004.25291', 'N', '03015.65562', 'E', '0.041', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '122207.00', 'A', '6004.25285', 'N', '03015.65569', 'E', '0.066', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '122208.00', 'A', '6004.25279', 'N', '03015.65578', 'E', '0.034', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '124104.00', 'A', '6004.25886', 'N', '03015.67377', 'E', '0.019', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '124105.00', 'A', '6004.25889', 'N', '03015.67384', 'E', '0.021', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '124106.00', 'A', '6004.25893', 'N', '03015.67394', 'E', '0.018', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '124107.00', 'A', '6004.25899', 'N', '03015.67401', 'E', '0.044', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '124108.00', 'A', '6004.25904', 'N', '03015.67400', 'E', '0.011', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '124109.00', 'A', '6004.25908', 'N', '03015.67418', 'E', '0.038', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '124110.00', 'A', '6004.25910', 'N', '03015.67436', 'E', '0.027', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '124111.00', 'A', '6004.25913', 'N', '03015.67458', 'E', '0.029', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '124112.00', 'A', '6004.25915', 'N', '03015.67465', 'E', '0.024', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '124113.00', 'A', '6004.25917', 'N', '03015.67473', 'E', '0.013', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '124114.00', 'A', '6004.25912', 'N', '03015.67462', 'E', '0.005', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '124115.00', 'A', '6004.25908', 'N', '03015.67453', 'E', '0.046', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '124116.00', 'A', '6004.25905', 'N', '03015.67442', 'E', '0.024', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '124117.00', 'A', '6004.25902', 'N', '03015.67428', 'E', '0.024', '', '250525', '', '', 'D*6E\r\n']
